Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
2.339326299,0.558058273,0.232635714,0.789663729,188.8181818,138.7159091,135.9318182,0.019709485,0.263030726,0.740463458,147.6931818,119.375,150.1704545,61.95787956,18.41339883,8.888100176,153.3522727,1
3.209423819,0.793690237,0.197332152,0.8362933,151.610766,109.1449275,109.2712215,0.355900738,0.225606817,0.594552024,120.6356108,121.7888199,146.6459627,49.1879982,16.00866021,6.322045739,121.8612836,1
2.457024793,0.663275342,0.34172343,0.863946035,184.4469697,130.1212121,131.6969697,0.602219809,0.273379362,0.72332145,141.8636364,120.6212121,151.8106061,59.18843275,20.76326895,7.432436227,146.5833333,1
2.425820707,0.682651449,0.295004538,0.803363809,182.6944444,130.0833333,132.4166667,0.743766584,0.25971972,0.716448802,141.4722222,121.1944444,150.9351852,58.86413355,20.11128501,6.710267889,146.0648148,1
4.389474759,0.742001462,0.137251633,0.748153046,126.5263158,76.23219814,86.22600619,0.729470397,0.319230825,0.496181631,95.33126935,124.9133127,149.380805,37.73491322,21.30137275,3.077802607,92.38080495,1
1.931874416,0.726394568,0.120671399,0.734885037,176.2962963,103.4675926,123.5632716,0.856300237,0.373835525,0.691358025,125.5154321,126.0401235,158.5648148,51.83642564,30.86072511,1.649766227,127.5339506,1
1.751082251,0.692251048,0.16671026,0.740369576,184.25,118.71875,134.7083333,0.910021956,0.338490162,0.72254902,136.3541667,125.2916667,155.6666667,56.6908668,27.48437389,2.01403504,140.15625,1
3.106919643,0.755095608,0.106679702,0.698840067,149.9333333,87.50588235,99.61960784,0.740259588,0.322211706,0.587973856,108.3647059,124.0509804,154.5686275,43.77873572,25.81849454,4.10870794,107.5333333,1
4.464285714,0.119811675,0.097204507,0.633263653,181.1632653,89.93877551,108.3061224,0.947345664,0.498253208,0.710444178,118.4285714,122.5714286,166.7959184,49.45774258,38.2827465,6.984863239,119.3877551,1
3.1875,0.153335462,0.079153378,0.576085758,213.55,120.075,137.35,0.969504477,0.437504653,0.83745098,144.825,121.75,167.825,61.21402099,38.22322581,6.874518051,150.025,1
1.807689553,0.749726898,0.126132916,0.733386143,181.3395722,112.144385,128.6283422,0.862595466,0.345897848,0.711135577,131.6818182,125.0026738,157.2406417,54.52964957,28.8575928,2.626448299,134.7139037,1
3.106872294,0.629309505,0.101628969,0.668909331,161.6904762,88.67857143,103.8690476,0.885695706,0.414303147,0.634080299,112.4404762,123.8690476,159,46.05793196,30.84591764,4.754054053,112.2619048,1
2.185308442,0.581597897,0.301006582,0.803425904,115.1363636,53.27272727,45.90909091,0.017012293,0.565976021,0.451515152,76.875,115.5568182,155.7613636,30.42089758,26.07054074,17.20774195,70.85227273,1
1.428524034,0.833241313,0.152421135,0.880569494,141.9494302,75.85470085,68.64458689,0.102862111,0.454342436,0.556664432,97.40954416,115.0448718,157.545584,39.8502884,26.25080501,16.45888543,94.80128205,1
3.029101732,0.598533033,0.341315131,0.818290056,120.6727273,58.2,42.85454545,0.029437084,0.578421047,0.473226381,80.52121212,112.0787879,156.5515152,32.28986162,25.16243319,21.4471631,75.13333333,1
2.336818182,0.744477902,0.296414256,0.838988907,133.0082645,67.76859504,57.09917355,0.021679705,0.513009227,0.521601037,89.90909091,113.661157,157.4545455,36.55192231,26.02833621,18.65955709,86.04132231,1
1.290239231,0.911762806,0.218020931,0.886201363,114.3284314,62.92973856,62.52777778,0.289901748,0.305679591,0.44834679,83.20669935,120.1993464,150.5996732,32.56674709,20.60358805,9.529967109,78.24918301,1
