Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
1.515467172,0.842416625,0.137789151,0.817712918,94.77604167,53.61458333,50.98958333,0.008369491,0.416092422,0.371670752,72.33854167,120.78125,146.34375,27.41380098,17.53408769,9.340879836,65.609375,1
1.260457785,0.792703352,0.134151284,0.84331611,106.0757576,55.65757576,55.20151515,0.323542637,0.44868271,0.415983363,76.70454545,120.3333333,150.2151515,29.80555424,21.75749022,10.28637282,70.65909091,1
2.189823718,0.554488085,0.293466932,0.854601594,125.1875,65.51785714,46.58928571,0.038136389,0.593238055,0.490931373,85.73660714,110.96875,155.5982143,34.77153126,23.53258253,22.58915192,81.22767857,1
0.905512293,0.834871445,0.12841115,0.840097982,129.3578947,65.53789474,44.59578947,0.038777403,0.616451876,0.507285862,86.63368421,109.3315789,157.5242105,35.27800012,25.00563621,24.60446827,82.22210526,1
1.289589874,0.170910429,0.455903049,0.902505233,185.9553571,117.3392857,85.17857143,0.053160392,0.541908566,0.729236695,131.2857143,103.4375,160.5089286,55.92992048,23.5335355,28.85734971,134.3571429,1
3.337396694,0.522590572,0.165797717,0.789719681,169.7727273,84.66666667,60.64393939,0.033928989,0.586630036,0.665775401,108.2272727,104.8636364,167.1060606,45.71026528,31.99634546,29.32058481,107.3636364,1
2.735249733,0.803293838,0.165091353,0.789065553,132.0240385,67.59134615,52.5625,0.023766566,0.443709375,0.517741327,89.10096154,111.8461538,157.4086538,35.99527705,24.48782072,20.37178051,85.11538462,1
2.477494216,0.779371494,0.140305527,0.788826307,130.4571429,61.57142857,48.92857143,0.02292626,0.499398809,0.511610644,85.32142857,112.2607143,159.1642857,34.60056939,26.99786399,20.78705892,80.73214286,1
1.844642857,0.504629759,0.228014223,0.83174674,183.2611111,86.77222222,74.75,0.018419934,0.563368368,0.718671024,114.15,108.3944444,171.2777778,48.54887738,37.39515702,25.39801558,114.2722222,1
2.751344971,0.581609485,0.114273569,0.712515873,168.7246377,81.26086957,68.68599034,0.020794571,0.553348169,0.661665246,107.0289855,109.5217391,167.3043478,44.96226886,33.9025708,23.88852045,105.9613527,1
2.114335317,0.147103519,0.291026137,0.806057788,208.7460317,114.1428571,88.17460317,0.035892275,0.56703582,0.818611889,135.7777778,102.5873016,171.4603175,58.06196214,34.40892931,30.64260129,139.4920635,1
1.985262134,0.607267897,0.12896221,0.717580714,180.3461538,85.48076923,76.00961538,0.04346178,0.550314818,0.707239819,112.8269231,109.7980769,170.3461538,47.85235325,37.02659177,23.67472285,112.7019231,1
1.376439951,0.49124017,0.375215601,0.846915825,207.2117647,109.8764706,86.77647059,0.032320739,0.568741937,0.812595156,133.1176471,103.4470588,172.3941176,56.9792574,35.86900359,29.96657186,136.3529412,1
1.137777778,0.796752017,0.143316255,0.777111111,157.2333333,71.83333333,63.93333333,0.013068369,0.566443669,0.616601307,98.8,111.8666667,166.1166667,41.27424553,34.32624911,21.58047347,96.45,1
1.52105615,0.775091807,0.111964821,0.768286772,152.087963,70.12962963,50.72222222,0.029408402,0.610520309,0.596423384,95.36574074,107.3148148,165.375,39.89119922,31.97155319,27.32919939,92.41203704,1
3.05239899,0.553585974,0.110056746,0.701424876,166.7407407,78.71296296,65.13425926,0.021193289,0.553722013,0.653885258,104.837963,109,167.6018519,44.14007535,34.12047968,24.82118673,103.462963,1
2.786989796,0.806007417,0.184779635,0.794808775,135.16,71.24888889,60.10666667,0.019568662,0.411579559,0.530039216,92.47555556,113.6177778,156.8622222,37.24576715,24.25575994,17.74454902,89.09333333,1
2.109772727,0.632797566,0.089084343,0.735123737,155,73.8030303,60.96969697,0.035871844,0.589486617,0.607843137,98.96969697,110.3787879,164.5757576,41.22962052,32.35199536,23.42076547,96.59090909,1
2.650099206,0.471392951,0.096224883,0.651922477,161.125,76.125,66.1625,0.016482128,0.555068602,0.631862745,102.225,111.0125,166,42.77344455,33.71847262,22.34130378,100.3875,1
1.955252101,0.780421399,0.177470359,0.813143841,122.6962963,65.6962963,56.01481481,0.020785366,0.464744269,0.481161946,86.13703704,115.2518519,153.7259259,34.48738271,22.7408926,16.31627675,81.62592593,1
1.709289966,0.121666616,0.357222938,0.870456881,143.2321429,74.57142857,65.875,0.018583498,0.539475951,0.561694678,96.76785714,114.0178571,158.7857143,39.86903593,27.89066361,18.18251251,94.125,1
3.170535714,0.495685208,0.638843892,0.868574617,122.9791667,62.16666667,50.39583333,0.029269292,0.559202028,0.482271242,83.83333333,113.75,155.5208333,33.68111526,24.74314175,18.85961695,78.97916667,1
0.917525409,0.510629479,0.415188983,0.846446609,131.9006211,57.29192547,48.21118012,0.018222777,0.627820591,0.517257338,83.47826087,112.863354,161.4285714,34.10627549,31.13722551,21.20558079,78.55279503,1
3.153825341,0.640175866,0.331240615,0.804275635,111.422619,58.23214286,43.79166667,0.031063404,0.527250368,0.436951447,78.25595238,113.7916667,152.422619,30.91723092,21.24989549,18.79982504,72.5,1
3.699475337,0.749143565,0.23030882,0.818304137,115.3235294,64.41544118,51.48161765,0.026267292,0.420228108,0.452249135,83.15808824,114.8676471,151.3235294,32.97136794,19.56205215,16.64832547,78.18014706,1
2.038077721,0.776280612,0.117341484,0.79058199,114.1680815,56.99320883,46.1188455,0.023856405,0.51059236,0.447724625,78.55687606,114.7487267,153.8811545,31.11254029,23.14827816,17.7107657,72.8573854,1
4.344903361,0.739686262,0.178216912,0.788930153,111.1410256,64.58333333,52.08333333,0.026825107,0.401648559,0.435847159,82.19871795,115.5897436,149.3910256,32.37731253,17.7806507,15.4399098,77.05769231,1
2.73452381,0.390452412,0.223399668,0.773071145,155.7625,88.075,75.6125,0.024701504,0.481219978,0.610833333,107.7625,112.4375,158.6125,44.79943841,26.11128003,19.15088368,106.8375,1
2.473703704,0.290746476,0.349989026,0.784596561,147.0666667,82.7,65.36666667,0.033730821,0.535574268,0.576732026,101.8333333,110.9333333,157.45,42.23504316,24.69879158,21.59223135,100.0166667,1
1.875662879,0.684600393,0.157812602,0.753602694,148.6565657,84.1010101,72.1010101,0.025015691,0.486863653,0.582966924,103.6666667,113.1515152,157.2626263,42.7178513,25.04122452,18.43918258,102.040404,1
2.890432099,0.310790543,0.481372123,0.858345826,190.44,119.9,95.53,0.042927443,0.500898505,0.746823529,134.74,106.85,160.7,56.94103413,24.66925407,24.62797703,138.23,1
2.243209877,0.354811832,0.301627991,0.801480747,171.29,109.91,109.32,0.201667079,0.354681612,0.67172549,126.06,118.65,155.05,52.54619701,24.07686454,10.41472293,128.17,1
3.819799107,0.710765358,0.133128705,0.711586206,149.4702381,99.16666667,100.4315476,0.5563952,0.285930467,0.586157796,114.2380952,121.1547619,149.9910714,46.61763976,19.71655526,7.370456659,114.3511905,1
2.281167328,0.189440803,0.332471156,0.800058166,182.1587302,119.031746,120.3015873,0.679604389,0.340096152,0.714347961,134.6507937,119.2539683,155.6031746,56.34168759,24.7310204,9.510578484,138.047619,1
3.365746753,0.454950933,0.192531236,0.731077709,152.5,102.7954545,97.02272727,0.015963897,0.337324912,0.598039216,116.5568182,118.1704545,150.2613636,48.11829761,18.8548209,11.18179741,117.0568182,1
2.547512755,-0.049488596,0.62987,0.87886639,176.25,116.8035714,114.0892857,0.02540476,0.352499255,0.691176471,131.3571429,118.0714286,154.2857143,54.97494088,22.91665542,11.05907857,134.2678571,1
1.779183201,0.243265736,0.539465991,0.865187134,172.8730159,115.4761905,112.3809524,0.008128175,0.338661608,0.677933396,129.6507937,118.1269841,153.4285714,54.28540701,22.06953366,10.90475302,132.2698413,1
1.853547062,0.810061474,0.135215829,0.780588314,135.4982456,82.00350877,79.10526316,0.102650319,0.355702382,0.531365669,99.87017544,118.8350877,151.6807018,40.48842998,21.22009589,10.93919209,97.65964912,1
3.050752315,0.65109063,0.188638424,0.762020899,136.2222222,89.98611111,83.40972222,0.01901598,0.346334613,0.534204793,104.5277778,118.2638889,148.7708333,42.60952534,17.66343369,11.28316138,103.0833333,1
2.180996536,0.751413874,0.244589744,0.816244499,165.0526316,109.4320175,107.2368421,0.154776482,0.319071003,0.647265222,124.0504386,118.8135965,152.5723684,51.37928217,21.33168083,10.10075269,125.8399123,1
3.312030678,0.642336396,0.377648693,0.805694771,164.7008929,111.7991071,109.1473214,0.052295776,0.308209878,0.645885854,125.3616071,119.0223214,151.4330357,51.93792394,20.12472463,9.776115224,127.3348214,1
3.133299292,0.697871623,0.204114622,0.748012493,162.21875,110.40625,109.9895833,0.174808633,0.283837583,0.636151961,124.1006944,120.2604167,150.7708333,51.27053686,19.95030027,8.369448053,125.8194444,1
